,property_type,barrio,rooms,price,lat,lon,distancia_minima_escuela (m)
58847,Departamento,Villa del Parque,2.0,108000.0,-34.609464100000004,-58.4810392,54.753824329129024
58848,Departamento,Villa del Parque,2.0,110000.0,-34.609464100000004,-58.4810392,54.753824329129024
58849,Departamento,Villa Pueyrredón,2.0,125000.0,-34.5924518919,-58.492128803199996,154.5943292847828
58850,Departamento,Villa General Mitre,2.0,110000.0,-34.6134107,-58.4624199,209.98478815747703
58851,Departamento,Centro / Microcentro,2.0,110000.0,-34.599340000000005,-58.378086,30.86282212572857
58859,Departamento,Once,3.0,67000.0,-34.6151326,-58.4142335,116.08634020062561
58860,Departamento,Flores,3.0,147000.0,-34.6283818176,-58.4709452691,242.64735698000123
58868,Departamento,Almagro,3.0,125000.0,-34.5997581591,-58.4138939775,94.20497466766865
58869,Departamento,Almagro,3.0,120000.0,-34.6016938057,-58.4303447543,154.00832463092146
58872,Departamento,Palermo,3.0,139000.0,-34.5991237,-58.4121976,45.368857909771116
58890,Departamento,Balvanera,3.0,120000.0,-34.6123812,-58.4031605,141.39978322741302
58892,Departamento,Caballito,4.0,149000.0,-34.612759000000004,-58.438299,189.85095593701107
58895,Departamento,Caballito,3.0,129000.0,-34.6186463,-58.4392308,73.8639342838737
58903,Departamento,Villa Crespo,3.0,116000.0,-34.5961349264,-58.4439191834,203.10797502073976
58904,Departamento,Villa Crespo,3.0,125000.0,-34.601207603,-58.4336412821,233.98080849074123
58908,Departamento,Villa Soldati,3.0,35000.0,-34.66666,-58.44779000000001,317.76352439018086
58914,PH,Mataderos,4.0,129000.0,-34.6519866,-58.48875379999999,344.9472855798627
58950,Departamento,Villa Soldati,4.0,65000.0,-34.665052,-58.44308100000001,121.2567019175776
58978,PH,Balvanera,4.0,148000.0,-34.61526679999999,-58.3971161,83.56651592857372
58981,PH,San Telmo,4.0,145000.0,-34.620664700000006,-58.3713036,63.6384827018302
58982,PH,Constitución,4.0,145000.0,-34.620664700000006,-58.3713036,63.6384827018302
59004,Departamento,Boca,2.0,56000.0,-34.6282003,-58.3594584,300.22683514163367
59005,Departamento,Once,3.0,110000.0,-34.60545,-58.40704399999999,155.0978944555959
59006,Departamento,Once,1.0,70000.0,-34.613313,-58.4040257,150.16086514622762
59008,Departamento,Flores,1.0,85000.0,-34.62642570000001,-58.4652542,96.78333948718927
59009,Departamento,Flores,4.0,135000.0,-34.6325177,-58.4705201,94.13372950282218
59011,Departamento,Nuñez,1.0,115000.0,-34.542750299999994,-58.46014520000001,313.0530118826133
59012,Departamento,Nuñez,1.0,143000.0,-34.542750299999994,-58.46014520000001,313.0530118826133
59013,Departamento,Nuñez,1.0,140000.0,-34.542750299999994,-58.46014520000001,313.0530118826133
59014,Departamento,Nuñez,1.0,125000.0,-34.5511630588,-58.4608318455,8.006156759011331
59017,Departamento,Retiro,1.0,139000.0,-34.5974784,-58.37624720000001,86.46527068513164
59019,Departamento,Almagro,1.0,119000.0,-34.6158901,-58.41766629999999,35.911591134131534
59020,Departamento,Almagro,1.0,94000.0,-34.6041864,-58.41401510000001,185.97085232591826
59022,Departamento,Almagro,1.0,79900.0,-34.598065000000005,-58.41314000000001,124.09776239875296
59023,Departamento,Coghlan,2.0,120000.0,-34.560968100000004,-58.4758459,312.3882256135796
59024,Departamento,Coghlan,1.0,105000.0,-34.5630574031,-58.467445927,188.20645756257375
59025,Departamento,Coghlan,2.0,140000.0,-34.555453,-58.4796751,153.2546080633847
59026,Departamento,Liniers,3.0,120000.0,-34.6426658,-58.5220364,129.33325384329612
59027,Departamento,Palermo,1.0,128000.0,-34.5906543261,-58.4240301109,319.8392746072793
59032,Departamento,Palermo,1.0,144441.0,-34.5967834,-58.4214257,179.33483852703444
59033,Departamento,Palermo,1.0,95000.0,-34.5904467931,-58.424826925,355.7017695529372
59034,Departamento,Palermo,1.0,149410.0,-34.5967834,-58.4214257,179.33483852703444
59035,Departamento,Palermo,1.0,100000.0,-34.5780655,-58.42653170000001,317.0725444081904
59038,Departamento,Palermo,1.0,106000.0,-34.5780655,-58.42653170000001,317.0725444081904
59039,Departamento,Palermo,1.0,93000.0,-34.59581420000001,-58.4231789,26.925908634750552
59040,Departamento,Palermo,1.0,102000.0,-34.5780655,-58.42653170000001,317.0725444081904
59042,Departamento,Palermo,1.0,106000.0,-34.5780655,-58.42653170000001,317.0725444081904
59043,Departamento,Palermo,1.0,128000.0,-34.5906543261,-58.4240301109,319.8392746072793
59044,Departamento,Palermo,1.0,77000.0,-34.5962501673,-58.4149563522,71.74014553627853
59045,Departamento,Pompeya,2.0,78000.0,-34.643403,-58.4163782,160.40263752445097
59046,Departamento,Barracas,3.0,88000.0,-34.63141820000001,-58.3703382,333.0233400337389
59053,Departamento,Belgrano,1.0,95000.0,-34.5737255,-58.44062750000001,67.31904366476519
59054,Departamento,Belgrano,1.0,130000.0,-34.5612854,-58.4661442,52.50090458975181
59058,Departamento,Belgrano,1.0,102000.0,-34.55515689999999,-58.4535714,141.14548535787378
59063,Departamento,Belgrano,1.0,105000.0,-34.5643108721,-58.466127775699995,281.2117765499481
59065,Departamento,Belgrano,1.0,130000.0,-34.5612854,-58.4661442,52.50090458975181
59067,Departamento,Paternal,2.0,110000.0,-34.6067711,-58.4698498,216.97517979873876
59068,Departamento,Paternal,2.0,112000.0,-34.6067711,-58.4698498,216.97517979873876
59072,Departamento,Recoleta,3.0,145000.0,-34.5871415,-58.4034754,206.43977594548863
59077,Departamento,Balvanera,1.0,70000.0,-34.613313,-58.4040257,150.16086514622762
59078,Departamento,Balvanera,1.0,67000.0,-34.603384000000005,-58.396775,25.198695480774788
59079,Departamento,Caballito,1.0,93600.0,-34.608457200000004,-58.4419046,229.9217998987225
59080,Departamento,Caballito,1.0,95000.0,-34.62110138,-58.44641495,177.75457000749148
59081,Departamento,Caballito,2.0,80000.0,-34.6160055,-58.4499542,77.973589202114
59082,Departamento,Caballito,2.0,97500.0,-34.6250266,-58.43833539999999,182.74282464520385
59085,Departamento,Monserrat,1.0,90000.0,-34.6134251,-58.3839715,121.45460218535658
59087,Departamento,San Telmo,1.0,72000.0,-34.6134847,-58.37767679999999,64.20365497552798
59091,Departamento,Barrio Norte,1.0,130000.0,-34.5973304,-58.4216121,208.58108881237084
59092,Departamento,Barrio Norte,1.0,120000.0,-34.5973304,-58.4216121,208.58108881237084
59093,Departamento,Barrio Norte,1.0,147000.0,-34.5973304,-58.4216121,208.58108881237084
59094,Departamento,Barrio Norte,2.0,95000.0,-34.5944063,-58.4029353,95.77695368469661
59095,Departamento,Barrio Norte,1.0,120000.0,-34.5973304,-58.4216121,208.58108881237084
59098,Departamento,Barrio Norte,2.0,95000.0,-34.598163,-58.3864774,72.81533933740053
59104,Departamento,San Nicolás,1.0,65000.0,-34.60237885,-58.37663269,71.36577874630969
59105,Departamento,Villa Crespo,2.0,105000.0,-34.595031899999995,-58.4381461,62.84421581615337
59106,Departamento,Villa Crespo,2.0,85000.0,-34.5972888,-58.4378437,104.39263957007672
59107,Departamento,Villa Crespo,1.0,60000.0,-34.59867,-58.45145,186.6468111054814
59108,Departamento,Villa Crespo,1.0,69500.0,-34.596588399999995,-58.44310110000001,144.4587617956032
59109,Departamento,Villa Crespo,1.0,118125.0,-34.5810295,-58.4327598,159.2566690368888
59110,Departamento,Villa Crespo,1.0,90000.0,-34.594213,-58.442563,211.1749687193176
59111,Departamento,Villa Crespo,2.0,149500.0,-34.59772279999999,-58.4304234,166.59762325976402
59112,Departamento,Villa Crespo,1.0,118125.0,-34.5810295,-58.4327598,159.2566690368888
59115,Departamento,Villa Devoto,1.0,110000.0,-34.6006877,-58.5143934,35.934440900461574
59116,Departamento,Villa Devoto,1.0,117000.0,-34.6006877,-58.5143934,35.934440900461574
59117,Departamento,Villa Devoto,1.0,55000.0,-34.616192299999994,-58.51963000000001,185.7196163156597
59118,Departamento,Villa Devoto,1.0,61000.0,-34.616192299999994,-58.51963000000001,185.7196163156597
